Sample No,P1,P2,P3,P4,P5,P6,P7,P8,,R1,,
,,,,,,,,,,,,
81,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.014,,
82,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.022,,
83,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.013,,
84,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.019,,
,,,,,,,,,,,,
86,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.01,,
87,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.023,,
88,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.021,,
89,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.011,,
,,,,,,,,,,,,
91,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.006,,
92,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.026,,
93,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.004,,
94,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.02,,
,,,,,,,,,,,,
96,0.01,0.0529,0.935,0.000539,0.01,0.0529,0.935,0.000539,,0.002,,
97,0.01,0.0529,0.935,0.000539,0.01,0.0575,0.947,0.000694,,0.013,,
98,0.01,0.0529,0.935,0.000539,0.01,0.0575,0.947,0.000694,,0.018,,
99,0.01,0.0529,0.935,0.000539,0.01,0.0575,0.947,0.000694,,0.019,,
