Load,Actuator,Time,Strain
111.9532,7.125,10.623,0.000924152
112.3764,7.229167,10.69,0.000930319
113.3462,7.340278,10.757,0.000946641
114.0321,7.444445,10.823,0.000958788
113.8633,7.555556,10.89,0.000962821
113.5999,7.666667,10.957,0.001056105
114.1929,7.770834,11.023,0.00125489
113.6783,7.861111,11.09,0.001580246
110.55,7.881944,11.157,0.001774002
101.561,7.840278,11.223,0.001732945
90.14118,7.770834,11.29,0.001637182
79.98202,7.708333,11.357,0.001554894
72.53449,7.659722,11.423,0.00150112
67.86986,7.625,11.49,0.001454402
65.49718,7.611111,11.557,0.001436585
64.76794,7.604167,11.623,0.001431011
65.0286,7.604167,11.69,0.00142866
66.53071,7.604167,11.757,0.001441849
68.79909,7.611111,11.823,0.00146105
71.18644,7.625,11.89,0.001478664
73.23491,7.631944,11.957,0.001494326
74.6797,7.638889,12.023,0.001509991
75.67163,7.645833,12.09,0.001511187
76.76409,7.652778,12.157,0.00152183
77.47943,7.652778,12.223,0.001531217
78.04053,7.659722,12.29,0.001530507
78.89489,7.659722,12.357,0.001538813
79.7657,7.666667,12.423,0.001547753
80.615,7.673611,12.49,0.001551144
81.76805,7.680555,12.557,0.001563769
82.81141,7.6875,12.623,0.001574489
83.67833,7.6875,12.69,0.001577468
84.60826,7.694445,12.757,0.001585966
85.72048,7.701389,12.823,0.001598382
86.72132,7.708333,12.89,0.001604255
87.76565,7.715278,12.957,0.001612948
88.85099,7.722222,13.023,0.001623583
89.81017,7.729167,13.09,0.001629018
90.79826,7.729167,13.157,0.001636979
91.84392,7.736111,13.223,0.001647722
92.7945,7.743055,13.29,0.001652985
93.71888,7.75,13.357,0.001660338
94.76573,7.756944,13.423,0.001670717
95.77245,7.763889,13.49,0.001674166
96.78105,7.770834,13.557,0.001687214
97.76013,7.777778,13.623,0.00169763
98.76933,7.784722,13.69,0.001702685
99.79157,7.791667,13.757,0.00171196
100.7739,7.798611,13.823,0.001722783
101.6741,7.805556,13.89,0.00172677
102.6275,7.8125,13.957,0.001737012
103.4945,7.8125,14.023,0.001749565
104.3333,7.819445,14.09,0.001753362
105.1541,7.826389,14.157,0.001764864
105.8613,7.833334,14.223,0.001776914
106.4857,7.840278,14.29,0.001781678
107.1067,7.847223,14.357,0.0017958
107.571,7.854166,14.423,0.001812526
107.5583,7.854166,14.49,0.001821107
107.7043,7.861111,14.557,0.001837188
107.3491,7.861111,14.623,0.001850095
107.0175,7.861111,14.69,0.001852165
106.775,7.861111,14.757,0.001858973
106.5513,7.861111,14.823,0.001865416
106.3778,7.861111,14.89,0.001864883
106.3704,7.861111,14.957,0.001870831
106.7406,7.861111,15.023,0.001881399
107.3676,7.868055,15.09,0.001890611
107.708,7.868055,15.157,0.001901311
107.9477,7.875,15.223,0.001919704
107.7862,7.875,15.29,0.001927374
107.7564,7.875,15.357,0.001940261
107.6564,7.875,15.423,0.001955747
107.3894,7.881944,15.49,0.001957262
106.3747,7.881944,15.557,0.001959782
105.3621,7.875,15.623,0.001958829
105.2921,7.875,15.69,0.001955762
105.7657,7.875,15.757,0.001962011
106.8209,7.875,15.823,0.001974053
107.7117,7.881944,15.89,0.001987369
108.3209,7.888889,15.957,0.002008597
108.5385,7.895833,16.023,0.002031498
108.1073,7.895833,16.09,0.002038805
107.6118,7.895833,16.157,0.002052341
106.5615,7.895833,16.223,0.002060009
105.1032,7.895833,16.29,0.002047593
104.3281,7.888889,16.357,0.002043814
104.1982,7.888889,16.423,0.002045149
104.5159,7.888889,16.49,0.002044655
105.8046,7.888889,16.557,0.002055674
107.5581,7.895833,16.623,0.002076057
108.7505,7.902778,16.69,0.002097984
109.0164,7.909723,16.757,0.002126091
108.5237,7.916667,16.823,0.002149018
106.9475,7.916667,16.89,0.002150772
105.1339,7.909723,16.957,0.002143827
103.8433,7.902778,17.023,0.002136601
103.3484,7.902778,17.09,0.002131442
103.3098,7.902778,17.157,0.002129914
104.0044,7.902778,17.223,0.002136594
105.5791,7.902778,17.29,0.002146913
107.6344,7.909723,17.357,0.002168817
108.9377,7.923611,17.423,0.002202606
109.0383,7.930555,17.49,0.002227993
108.233,7.930555,17.557,0.002246859
106.3113,7.930555,17.623,0.002248587
104.1868,7.916667,17.69,0.002232145
102.8981,7.916667,17.757,0.002225207
102.5219,7.909723,17.823,0.002227184
102.6809,7.909723,17.89,0.002220028
103.8237,7.909723,17.957,0.002227654
105.5017,7.916667,18.023,0.00224382
107.0365,7.923611,18.09,0.002259601
108.1859,7.930555,18.157,0.002281181
108.5764,7.9375,18.223,0.002308199
108.262,7.9375,18.29,0.002321241
107.7843,7.9375,18.357,0.002336703
106.5148,7.9375,18.423,0.002341807
104.5639,7.930555,18.49,0.002325343
103.4908,7.930555,18.557,0.002319245
103.0998,7.923611,18.623,0.002317474
103.8243,7.923611,18.69,0.002317873
105.4745,7.930555,18.757,0.002334343
107.0284,7.9375,18.823,0.002350757
108.2672,7.944444,18.89,0.002368459
108.8775,7.951389,18.957,0.002398004
108.5383,7.951389,19.023,0.002421221
107.8905,7.951389,19.09,0.002429948
106.2945,7.951389,19.157,0.00243307
104.2398,7.944444,19.223,0.002421555
102.9766,7.9375,19.29,0.002408764
102.7895,7.9375,19.357,0.002407272
103.0911,7.9375,19.423,0.002413101
104.3884,7.9375,19.49,0.002417969
106.3422,7.944444,19.557,0.002437
107.9499,7.951389,19.623,0.002461299
108.852,7.958333,19.69,0.002484467
